departamento,provincia,anio,longitud,latitud,NDVI,SAVI,EVI,NDMI,precipitacion_mm,temperatura_c,altitud_m
Puno,Azángaro,2020.0,-70.2347804888848,-14.808727458710312,0.25760195,0.16830975,0.16004808,-0.07569721,627.92816,7.98188,3879.0
Puno,Azángaro,2020.0,-70.04613427921969,-15.16805357235812,-0.13537118,-0.004545899,-0.0040493235,0.2375,588.90295,9.3122,3812.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.898558987122264,0.2539757,0.17561449,0.16315125,-0.13306387,620.9924,6.8632035,4230.0
Puno,Azángaro,2020.0,-70.32461201729674,-14.539232873474456,0.24694006,0.16376568,0.15477698,-0.16185576,763.0233,5.0030375,4221.0
Puno,Azángaro,2020.0,-70.09105004342567,-15.123137808152146,0.28823078,0.18991813,0.1808049,-0.03766568,550.58026,8.708972,4058.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.584148637680432,0.2533703,0.1659901,0.15678331,-0.1360065,753.66156,4.405688,4307.0
Puno,Azángaro,2020.0,-70.00121851501372,-15.212969336564097,0.18946807,0.15040956,0.14534487,-0.07855568,572.5585,9.3122,3822.0
Puno,Azángaro,2020.0,-70.04613427921969,-14.898558987122264,0.2596785,0.1827015,0.16915408,-0.09454841,620.9924,6.8632035,3997.0
Puno,Azángaro,2020.0,-70.13596580763165,-14.94347475132824,0.18554379,0.13091834,0.123106346,-0.14716126,583.87396,7.285894,3964.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.898558987122264,0.25684455,0.18334714,0.17754155,-0.058242973,611.36694,8.25038,3922.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.359569816650552,0.23019518,0.14179632,0.1313118,-0.21162513,859.8896,5.660489,4324.0
Puno,Azángaro,2020.0,-70.36952778150273,-14.808727458710312,0.2608314,0.17625725,0.16812167,-0.123361096,630.3205,7.7387276,3911.0
Puno,Azángaro,2020.0,-69.90240383376057,-14.584148637680432,0.276606,0.1881456,0.187243,-0.11155846,878.9646,3.8731284,4723.0
Puno,Azángaro,2020.0,-70.27969625309076,-15.123137808152146,0.21108375,0.13734752,0.13052572,-0.16936731,560.695,8.571432,3917.0
Puno,Azángaro,2020.0,-70.2257973360436,-14.314654052444576,0.2877486,0.1982754,0.18343736,-0.07113752,934.97406,5.713732,4126.0
